foodid_goc,foodidx
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
10,9
11,10
13,11
14,12
15,13
16,14
18,15
19,16
20,17
21,18
22,19
23,20
24,21
25,22
26,23
27,24
30,25
31,26
32,27
33,28
34,29
36,30
38,31
39,32
40,33
41,34
42,35
43,36
44,37
45,38
46,39
47,40
48,41
49,42
50,43
51,44
52,45
53,46
54,47
55,48
56,49
57,50
58,51
59,52
60,53
61,54
62,55
64,56
65,57
66,58
67,59
68,60
69,61
70,62
71,63
72,64
73,65
74,66
75,67
76,68
77,69
78,70
79,71
80,72
81,73
82,74
83,75
84,76
85,77
87,78
88,79
89,80
90,81
91,82
92,83
93,84
94,85
95,86
96,87
97,88
98,89
99,90
101,91
103,92
104,93
105,94
106,95
107,96
108,97
109,98
110,99
111,100
112,101
113,102
114,103
115,104
116,105
117,106
118,107
119,108
120,109
121,110
122,111
123,112
124,113
125,114
126,115
127,116
128,117
129,118
130,119
131,120
132,121
133,122
134,123
136,124
137,125
138,126
139,127
140,128
141,129
142,130
143,131
145,132
147,133
148,134
149,135
150,136
151,137
152,138
153,139
154,140
155,141
156,142
157,143
158,144
159,145
160,146
161,147
162,148
163,149
164,150
165,151
166,152
167,153
168,154
169,155
170,156
171,157
172,158
173,159
174,160
177,161
178,162
179,163
180,164
181,165
182,166
183,167
184,168
185,169
186,170
187,171
188,172
190,173
191,174
192,175
193,176
194,177
195,178
196,179
197,180
198,181
199,182
200,183
201,184
202,185
203,186
204,187
205,188
206,189
207,190
208,191
209,192
210,193
211,194
212,195
213,196
214,197
215,198
216,199
218,200
219,201
220,202
221,203
222,204
223,205
224,206
225,207
226,208
227,209
228,210
229,211
230,212
231,213
232,214
234,215
235,216
236,217
237,218
238,219
239,220
240,221
241,222
242,223
243,224
244,225
245,226
246,227
247,228
248,229
249,230
250,231
252,232
253,233
254,234
255,235
256,236
257,237
258,238
259,239
260,240
261,241
262,242
263,243
264,244
265,245
266,246
267,247
268,248
269,249
270,250
271,251
272,252
273,253
274,254
276,255
277,256
279,257
280,258
281,259
282,260
283,261
284,262
285,263
286,264
287,265
288,266
289,267
290,268
291,269
292,270
293,271
294,272
295,273
297,274
299,275
300,276
302,277
303,278
304,279
307,280
308,281
309,282
311,283
312,284
313,285
314,286
315,287
316,288
317,289
318,290
319,291
320,292
321,293
322,294
323,295
324,296
325,297
326,298
327,299
328,300
329,301
330,302
331,303
332,304
333,305
334,306
335,307
336,308
338,309
339,310
340,311
342,312
343,313
344,314
345,315
346,316
347,317
348,318
349,319
350,320
351,321
352,322
353,323
354,324
355,325
356,326
357,327
358,328
359,329
360,330
361,331
362,332
363,333
365,334
366,335
367,336
368,337
369,338
370,339
371,340
372,341
373,342
374,343
375,344
376,345
377,346
378,347
380,348
381,349
382,350
383,351
384,352
385,353
386,354
387,355
388,356
389,357
390,358
391,359
392,360
393,361
394,362
395,363
397,364
398,365
399,366
400,367
401,368
402,369
403,370
404,371
405,372
406,373
407,374
408,375
409,376
410,377
411,378
413,379
414,380
415,381
416,382
417,383
419,384
420,385
421,386
422,387
423,388
424,389
425,390
427,391
428,392
429,393
430,394
431,395
432,396
433,397
434,398
435,399
436,400
437,401
438,402
439,403
440,404
441,405
442,406
443,407
444,408
445,409
446,410
447,411
448,412
449,413
450,414
451,415
452,416
453,417
454,418
455,419
457,420
458,421
459,422
460,423
461,424
462,425
463,426
465,427
466,428
467,429
468,430
469,431
470,432
471,433
472,434
473,435
474,436
475,437
476,438
477,439
478,440
479,441
480,442
481,443
482,444
483,445
485,446
486,447
487,448
488,449
489,450
490,451
491,452
492,453
493,454
494,455
495,456
496,457
497,458
498,459
499,460
500,461
501,462
503,463
504,464
505,465
506,466
507,467
508,468
509,469
510,470
511,471
512,472
513,473
514,474
515,475
516,476
517,477
518,478
519,479
522,480
523,481
524,482
525,483
526,484
527,485
528,486
529,487
531,488
532,489
533,490
534,491
535,492
536,493
537,494
538,495
539,496
540,497
541,498
542,499
543,500
544,501
545,502
546,503
547,504
548,505
549,506
551,507
552,508
553,509
554,510
555,511
556,512
557,513
558,514
559,515
560,516
561,517
562,518
563,519
564,520
565,521
566,522
567,523
568,524
570,525
571,526
572,527
573,528
574,529
575,530
576,531
577,532
578,533
579,534
581,535
582,536
583,537
584,538
585,539
586,540
587,541
588,542
589,543
590,544
591,545
592,546
593,547
594,548
595,549
596,550
597,551
598,552
599,553
600,554
601,555
602,556
603,557
605,558
606,559
607,560
608,561
609,562
610,563
611,564
612,565
613,566
614,567
616,568
617,569
618,570
619,571
621,572
622,573
623,574
624,575
625,576
626,577
627,578
628,579
629,580
630,581
631,582
632,583
633,584
634,585
635,586
636,587
638,588
639,589
640,590
641,591
642,592
643,593
644,594
645,595
646,596
647,597
648,598
649,599
650,600
651,601
652,602
653,603
654,604
655,605
656,606
657,607
658,608
659,609
661,610
662,611
663,612
664,613
666,614
667,615
669,616
671,617
673,618
675,619
676,620
677,621
678,622
679,623
680,624
681,625
682,626
683,627
684,628
685,629
686,630
687,631
688,632
689,633
690,634
691,635
692,636
693,637
694,638
696,639
697,640
698,641
699,642
700,643
701,644
702,645
704,646
705,647
706,648
707,649
708,650
709,651
710,652
711,653
712,654
713,655
714,656
715,657
716,658
717,659
718,660
719,661
720,662
721,663
722,664
723,665
724,666
725,667
726,668
727,669
728,670
729,671
730,672
731,673
732,674
733,675
734,676
735,677
736,678
737,679
738,680
739,681
740,682
741,683
742,684
743,685
744,686
745,687
746,688
747,689
748,690
749,691
750,692
751,693
752,694
753,695
754,696
755,697
756,698
758,699
759,700
760,701
761,702
762,703
763,704
764,705
765,706
766,707
767,708
768,709
769,710
770,711
771,712
772,713
773,714
774,715
775,716
776,717
777,718
778,719
779,720
780,721
781,722
782,723
783,724
784,725
785,726
786,727
787,728
789,729
790,730
791,731
792,732
793,733
794,734
795,735
796,736
798,737
799,738
800,739
801,740
802,741
803,742
804,743
805,744
806,745
807,746
808,747
809,748
810,749
811,750
812,751
813,752
814,753
815,754
816,755
817,756
818,757
820,758
821,759
822,760
823,761
824,762
825,763
826,764
827,765
828,766
829,767
830,768
831,769
832,770
833,771
834,772
835,773
836,774
837,775
838,776
839,777
840,778
841,779
842,780
843,781
844,782
845,783
846,784
847,785
848,786
849,787
850,788
851,789
852,790
853,791
854,792
855,793
856,794
857,795
858,796
859,797
860,798
861,799
862,800
863,801
864,802
865,803
866,804
867,805
869,806
870,807
871,808
872,809
873,810
874,811
875,812
876,813
877,814
879,815
880,816
881,817
882,818
883,819
884,820
886,821
887,822
888,823
889,824
890,825
891,826
892,827
893,828
894,829
895,830
896,831
897,832
898,833
899,834
900,835
901,836
902,837
903,838
904,839
905,840
906,841
908,842
909,843
910,844
911,845
912,846
913,847
914,848
915,849
917,850
918,851
919,852
920,853
921,854
922,855
923,856
924,857
925,858
926,859
927,860
928,861
929,862
930,863
931,864
932,865
934,866
935,867
937,868
938,869
939,870
940,871
942,872
943,873
944,874
945,875
946,876
947,877
948,878
949,879
950,880
951,881
952,882
955,883
956,884
957,885
958,886
959,887
961,888
962,889
963,890
965,891
966,892
967,893
968,894
969,895
970,896
971,897
972,898
973,899
974,900
975,901
977,902
978,903
979,904
980,905
981,906
982,907
983,908
985,909
986,910
987,911
988,912
989,913
990,914
991,915
992,916
994,917
995,918
996,919
997,920
999,921
1000,922
1001,923
1002,924
1003,925
1004,926
1005,927
1006,928
1007,929
1008,930
1010,931
1011,932
1012,933
1013,934
1014,935
1015,936
1016,937
1017,938
1018,939
1019,940
1021,941
1022,942
1023,943
1024,944
1025,945
1026,946
1027,947
1028,948
1029,949
1030,950
1031,951
1032,952
1033,953
1034,954
1035,955
1036,956
1037,957
1038,958
1039,959
1040,960
1041,961
1042,962
1043,963
1044,964
1045,965
1046,966
1047,967
1048,968
1049,969
1051,970
1052,971
1053,972
1054,973
1055,974
1056,975
1057,976
1058,977
1059,978
1061,979
1063,980
1064,981
1065,982
1066,983
1067,984
1068,985
1069,986
1070,987
1071,988
1072,989
1073,990
1075,991
1076,992
1077,993
1078,994
1080,995
1081,996
1082,997
1083,998
1084,999
1085,1000
1086,1001
1087,1002
1088,1003
1089,1004
1090,1005
1091,1006
1092,1007
1093,1008
1095,1009
1096,1010
1097,1011
1098,1012
1099,1013
1100,1014
1101,1015
1102,1016
1103,1017
1105,1018
1106,1019
1108,1020
1109,1021
1110,1022
1111,1023
1112,1024
1113,1025
1114,1026
1115,1027
1116,1028
1117,1029
1118,1030
1119,1031
1120,1032
1121,1033
1122,1034
1123,1035
1124,1036
