user_role,user_idx,n_train_interactions,recall@20,rank,item_idx,dish_name,dish_type,calories,hit
Active — Recall cao,6,544,0.0294,1,3293,Sườn Non Chay Xào Sả Ớt,Món chay,353,
Active — Recall cao,6,544,0.0294,2,555,Cá thu kho cà tím,Món mặn,527,
Active — Recall cao,6,544,0.0294,3,2547,Tương Ớt Homemade Ngày Tết,Món mặn,335,
Active — Recall cao,6,544,0.0294,4,277,Súp nấm cua,Món mặn,579,
Active — Recall cao,6,544,0.0294,5,368,Thịt kho đậu phộng,Món mặn,188,✓
Active — Recall cao,6,544,0.0294,6,2328,Cháo Nghêu,Món mặn,444,
Active — Recall cao,6,544,0.0294,7,3534,Bạch Tuộc Nhúng Giấm,Món mặn,518,
Active — Recall cao,6,544,0.0294,8,2015,Lườn Gà Xào Hành Lá,Món mặn,528,✓
Active — Recall cao,6,544,0.0294,9,1614,Lòng Heo Khìa Xá Xị,Món mặn,226,
Active — Recall cao,6,544,0.0294,10,53,Mỳ Ý xốt kem,Món mặn,471,
Active — Recall thap,100,522,0.0,1,1633,Thịt Chiên Mỏng Giòn,Món mặn,470,
Active — Recall thap,100,522,0.0,2,2407,Bún Thịt Xào,Món mặn,347,
Active — Recall thap,100,522,0.0,3,2982,Gà Sốt Me Chua Ngọt,Món mặn,434,
Active — Recall thap,100,522,0.0,4,2478,Gà Rán Bóng Đêm,Món mặn,371,
Active — Recall thap,100,522,0.0,5,3984,Cà Ri Cá Viên,Món mặn,554,
Active — Recall thap,100,522,0.0,6,3725,Bánh Xoài,Món mặn,411,
Active — Recall thap,100,522,0.0,7,2420,Cá Kho Măng Đậm Đà,Món mặn,471,
Active — Recall thap,100,522,0.0,8,911,Sandwich trái cây chiên giòn,Món mặn,591,
Active — Recall thap,100,522,0.0,9,2456,Thịt Xiên Nướng Rau Củ,Món mặn,199,
Active — Recall thap,100,522,0.0,10,992,Pancake dứa hạnh nhân,Món mặn,558,
Less-active,94,511,0.0079,1,2218,Xôi Cốm Đậu Xanh,Món mặn,341,
Less-active,94,511,0.0079,2,2385,Mướp Hương Xào Thịt Bò,Món mặn,193,
Less-active,94,511,0.0079,3,980,Bánh bí đỏ tôm thịt,Món mặn,585,
Less-active,94,511,0.0079,4,3933,Thịt Heo Chiên,Món mặn,288,
Less-active,94,511,0.0079,5,2930,Chả Cá Chiên Thơm Dai,Món mặn,489,
Less-active,94,511,0.0079,6,2495,Cà Pháo Muối Chua Ngọt,Món mặn,225,
Less-active,94,511,0.0079,7,1522,Bánh Flan,Món mặn,512,
Less-active,94,511,0.0079,8,3749,Canh Khổ Qua Cá Thác Lác,Món mặn,361,
Less-active,94,511,0.0079,9,2391,Tré Trộn Nem Chả,Món mặn,233,
Less-active,94,511,0.0079,10,489,Heo quay xào kim chi cà bát,Món mặn,540,
