user_role,user_idx,n_train_interactions,recall@20,rank,item_idx,dish_name,dish_type,calories,hit
Active — Recall cao,64,584,0.0207,1,2829,Bánh Bắp Chiên Tôm Nõn,Món mặn,483,
Active — Recall cao,64,584,0.0207,2,90,Củ hũ dừa xào ba chỉ,Món mặn,375,✓
Active — Recall cao,64,584,0.0207,3,3340,Bánh Bông Lan Hương Cam,Món mặn,498,
Active — Recall cao,64,584,0.0207,4,3041,Canh Chua Sò Cam,Món mặn,281,
Active — Recall cao,64,584,0.0207,5,2415,Bún Gạo Chiên Giòn,Món mặn,391,
Active — Recall cao,64,584,0.0207,6,894,Bánh mì nướng tỏi,Món mặn,432,
Active — Recall cao,64,584,0.0207,7,730,Thịt gà nấu long nhãn,Món mặn,382,
Active — Recall cao,64,584,0.0207,8,3904,Xôi Lá Cẩm,Món mặn,425,
Active — Recall cao,64,584,0.0207,9,1700,Bò Kho,Món mặn,548,
Active — Recall cao,64,584,0.0207,10,4,Gỏi ngó sen tôm thịt,Món mặn,317,
Active — Recall thap,85,553,0.0,1,2452,Bún Bò Huế Giò Nạm,Món mặn,381,
Active — Recall thap,85,553,0.0,2,1631,BÁNH BAO XÁ XÍU | CHAR SIU BAO | Cách Làm Bánh Bao Lên Men Truyền Thống,Món mặn,415,
Active — Recall thap,85,553,0.0,3,2944,Bánh Khoai Lang Nướng Nước Cốt Dừa,Món mặn,243,
Active — Recall thap,85,553,0.0,4,2455,Đậu Hũ Chiên Sốt Cà Chua Béo Thơm,Món mặn,414,
Active — Recall thap,85,553,0.0,5,2102,Trứng Hấp Tam Sắc,Món mặn,515,
Active — Recall thap,85,553,0.0,6,3240,Sâm Bông Cúc Nhãn Nhục,Món mặn,511,
Active — Recall thap,85,553,0.0,7,2383,Khô Gà Xé Lá Chanh,Món mặn,576,
Active — Recall thap,85,553,0.0,8,836,Cá rô phi kho lá lốt,Món mặn,381,
Active — Recall thap,85,553,0.0,9,2834,Bầu Xào Trứng,Món mặn,544,
Active — Recall thap,85,553,0.0,10,3990,Mứt Củ Gừng,Món mặn,592,
Less-active,14,478,0.0,1,2834,Bầu Xào Trứng,Món mặn,544,
Less-active,14,478,0.0,2,2500,Nấm Đùi Gà Xào Tỏi,Món mặn,479,
Less-active,14,478,0.0,3,3244,Bánh Champagne,Món mặn,463,
Less-active,14,478,0.0,4,506,Pancake xoài kem tươi,Món mặn,505,
Less-active,14,478,0.0,5,2314,Kem Bơ,Món mặn,399,
Less-active,14,478,0.0,6,3041,Canh Chua Sò Cam,Món mặn,281,
Less-active,14,478,0.0,7,344,Cháo lươn khoai môn đậu xanh,Món mặn,432,
Less-active,14,478,0.0,8,425,Bún bò giò heo,Món mặn,530,
Less-active,14,478,0.0,9,3568,Bánh Bò Bông,Món mặn,377,
Less-active,14,478,0.0,10,3265,Bánh Canh Xương Chả Thơm Ngon,Món mặn,494,
